player_id,seasons,all_star_seasons,all_star_percent,avg_yearly_salary,abs_per_double,abs_per_sb,abs_per_so,abs_per_bb,batting_avg,abs_per_hr
abreubo01,16,2,12.5,9.19,15.0,21.0,5.0,6.0,292.0,29.01
alfoned01,12,1,8.33,4.6,19.0,102.0,9.0,9.0,284.0,36.88
alomaro01,16,12,75.0,5.35,18.0,19.0,8.0,9.0,302.0,42.43
alomasa02,17,6,35.29,1.86,18.0,180.0,9.0,21.0,274.0,40.43
aloumo01,17,6,35.29,4.77,17.0,66.0,8.0,10.0,303.0,21.2
alvarpe01,5,1,20.0,2.99,25.0,154.0,3.0,10.0,233.0,18.72
anderbr01,14,3,21.43,3.03,19.0,21.0,5.0,7.0,258.0,30.26
anderga01,17,3,17.65,4.5,17.0,108.0,7.0,20.0,293.0,30.1
andruel01,7,2,28.57,4.35,23.0,19.0,7.0,11.0,270.0,152.56
aurilri01,15,1,6.67,2.34,19.0,249.0,7.0,13.0,275.0,30.76
ausmubr01,17,1,5.88,2.15,23.0,59.0,6.0,10.0,253.0,74.87
avilaal01,6,1,16.67,2.31,19.0,289.0,3.0,6.0,241.0,33.16
aybarer01,9,1,11.11,4.13,20.0,31.0,8.0,19.0,276.0,91.4
baergca01,13,3,23.08,2.34,19.0,90.0,9.0,19.0,292.0,40.01
bagweje01,14,4,28.57,7.77,16.0,37.0,5.0,5.0,297.0,16.69
baineha01,17,6,35.29,1.86,20.0,921.0,7.0,8.0,293.0,25.66
barfije01,8,1,12.5,1.41,21.0,70.0,4.0,8.0,256.0,19.79
bartlja01,8,1,12.5,2.2,20.0,25.0,6.0,11.0,266.0,96.41
basske01,11,1,9.09,1.0,19.0,30.0,7.0,12.0,275.0,37.54
batisto01,9,1,11.11,2.43,20.0,92.0,6.0,16.0,249.0,21.61
bautijo02,10,6,60.0,7.4,19.0,78.0,5.0,6.0,260.0,15.88
bayja01,10,3,30.0,7.08,19.0,48.0,4.0,7.0,266.0,20.27
belleal01,12,5,41.67,5.0,15.0,67.0,6.0,9.0,295.0,15.36
bellge02,9,3,33.33,1.94,20.0,101.0,8.0,18.0,278.0,22.59
belliro01,12,1,8.33,1.79,15.0,117.0,6.0,10.0,273.0,44.21
bellja01,16,2,12.5,3.55,19.0,82.0,5.0,9.0,266.0,37.81
beltrad01,18,4,22.22,9.17,17.0,82.0,6.0,13.0,285.0,23.52
beltrca01,17,8,47.06,12.89,17.0,28.0,6.0,9.0,281.0,22.17
berkmla01,14,6,42.86,9.89,16.0,77.0,5.0,5.0,293.0,17.79
bicheda01,12,4,33.33,4.15,16.0,42.0,6.0,18.0,301.0,22.87
biggicr01,19,7,36.84,4.32,16.0,26.0,6.0,9.0,282.0,37.34
